lock_id,channel,lock_month,locked_amount,funded_flag
LOCK-2024-00082,Correspondent,2024-10-01,306188,1
LOCK-2024-00083,Direct,2024-10-01,518671,1
LOCK-2024-00084,Direct,2024-08-01,696037,0
LOCK-2024-00085,Correspondent,2024-07-01,1122621,1
LOCK-2024-00086,Wholesale,2024-09-01,375143,1
LOCK-2024-00087,Direct,2024-07-01,321911,1
LOCK-2024-00088,Direct,2024-09-01,563184,1
LOCK-2024-00089,Correspondent,2024-04-01,780433,1
LOCK-2024-00090,Correspondent,2024-12-01,687897,1
LOCK-2024-00091,Retail,2024-07-01,664415,0
LOCK-2024-00092,Wholesale,2024-12-01,909328,1
LOCK-2024-00093,Correspondent,2024-11-01,1099322,1
LOCK-2024-00094,Wholesale,2024-02-01,277999,1
LOCK-2024-00095,Correspondent,2024-06-01,1009939,1
LOCK-2024-00096,Retail,2024-05-01,796128,1
LOCK-2024-00097,Wholesale,2024-05-01,820382,1
LOCK-2024-00098,Correspondent,2024-08-01,958309,1
LOCK-2024-00099,Correspondent,2024-06-01,1023084,0
LOCK-2024-00100,Correspondent,2024-11-01,1189954,0
LOCK-2024-00101,Retail,2024-09-01,725120,0
LOCK-2024-00102,Wholesale,2024-07-01,200494,1
LOCK-2024-00103,Wholesale,2024-02-01,355324,1
LOCK-2024-00104,Wholesale,2024-09-01,652209,1
LOCK-2024-00105,Retail,2024-06-01,491422,1
LOCK-2024-00106,Correspondent,2024-08-01,329447,0
LOCK-2024-00107,Direct,2024-04-01,1022991,1
LOCK-2024-00108,Direct,2024-11-01,1021560,1
LOCK-2024-00109,Direct,2024-09-01,288756,0
LOCK-2024-00110,Retail,2024-12-01,185581,0
LOCK-2024-00111,Correspondent,2024-09-01,1041207,0
LOCK-2024-00112,Direct,2024-01-01,345509,0
LOCK-2024-00113,Direct,2024-12-01,555627,1
LOCK-2024-00114,Correspondent,2024-05-01,649848,1
LOCK-2024-00115,Retail,2024-01-01,1033955,1
LOCK-2024-00116,Correspondent,2024-09-01,443021,1
LOCK-2024-00117,Correspondent,2024-06-01,676303,1
LOCK-2024-00118,Correspondent,2024-01-01,868997,0
LOCK-2024-00119,Wholesale,2024-02-01,385598,1
LOCK-2024-00120,Direct,2024-10-01,359590,1
LOCK-2024-00121,Direct,2024-10-01,379507,1
LOCK-2024-00122,Wholesale,2024-01-01,756744,1
LOCK-2024-00123,Retail,2024-12-01,863026,1
LOCK-2024-00124,Wholesale,2024-12-01,774486,0
LOCK-2024-00125,Retail,2024-03-01,384350,0
LOCK-2024-00126,Correspondent,2024-07-01,1174865,1
LOCK-2024-00127,Wholesale,2024-10-01,356930,1
LOCK-2024-00128,Direct,2024-01-01,218762,1
LOCK-2024-00129,Correspondent,2024-02-01,1106441,0
LOCK-2024-00130,Direct,2024-03-01,942319,1
LOCK-2024-00131,Direct,2024-10-01,197609,1
LOCK-2024-00132,Direct,2024-12-01,267481,0
LOCK-2024-00133,Correspondent,2024-09-01,442870,0
LOCK-2024-00134,Direct,2024-12-01,982614,1
LOCK-2024-00135,Wholesale,2024-04-01,489130,1
LOCK-2024-00136,Direct,2024-06-01,968566,1
LOCK-2024-00137,Correspondent,2024-03-01,1110467,1
LOCK-2024-00138,Direct,2024-09-01,337827,1
LOCK-2024-00139,Direct,2024-04-01,1046793,1
LOCK-2024-00140,Retail,2024-06-01,263842,1
LOCK-2024-00141,Wholesale,2024-10-01,660868,1
LOCK-2024-00142,Retail,2024-08-01,251977,0
LOCK-2024-00143,Correspondent,2024-04-01,734478,1
LOCK-2024-00144,Retail,2024-12-01,886746,1
LOCK-2024-00145,Correspondent,2024-02-01,543888,0
LOCK-2024-00146,Wholesale,2024-04-01,1006493,0
LOCK-2024-00147,Wholesale,2024-11-01,204492,1
LOCK-2024-00148,Direct,2024-01-01,975834,1
LOCK-2024-00149,Retail,2024-06-01,356409,0
LOCK-2024-00150,Retail,2024-07-01,548536,0
LOCK-2024-00151,Correspondent,2024-08-01,155687,1
LOCK-2024-00152,Retail,2024-05-01,174669,0
LOCK-2024-00153,Correspondent,2024-08-01,1192961,0
LOCK-2024-00154,Correspondent,2024-03-01,761989,1
LOCK-2024-00155,Direct,2024-05-01,328555,1
LOCK-2024-00156,Direct,2024-05-01,919938,0
LOCK-2024-00157,Wholesale,2024-03-01,254438,1
LOCK-2024-00158,Correspondent,2024-03-01,436414,1
LOCK-2024-00159,Wholesale,2024-08-01,1048752,0
LOCK-2024-00160,Correspondent,2024-01-01,911486,1
LOCK-2024-00161,Correspondent,2024-12-01,391680,1
LOCK-2024-00162,Wholesale,2024-04-01,387614,1
LOCK-2024-00163,Retail,2024-05-01,1133704,1
LOCK-2024-00164,Direct,2024-07-01,847675,1
LOCK-2024-00165,Direct,2024-10-01,811034,0
LOCK-2024-00166,Wholesale,2024-05-01,1103159,1
LOCK-2024-00167,Correspondent,2024-12-01,1104971,1
LOCK-2024-00168,Wholesale,2024-01-01,206871,0
LOCK-2024-00169,Correspondent,2024-07-01,649851,0
LOCK-2024-00170,Direct,2024-05-01,525540,1
LOCK-2024-00171,Correspondent,2024-06-01,822753,1
LOCK-2024-00172,Wholesale,2024-09-01,812865,0
LOCK-2024-00173,Wholesale,2024-12-01,694083,1
LOCK-2024-00174,Correspondent,2024-09-01,1065537,0
LOCK-2024-00175,Retail,2024-03-01,289718,1
LOCK-2024-00176,Direct,2024-06-01,622780,0
LOCK-2024-00177,Retail,2024-09-01,608368,1
LOCK-2024-00178,Correspondent,2024-12-01,183136,1
LOCK-2024-00179,Wholesale,2024-02-01,308023,1
LOCK-2024-00180,Wholesale,2024-09-01,459976,0
LOCK-2024-00181,Retail,2024-05-01,1105674,1
LOCK-2024-00182,Retail,2024-08-01,1170143,0
LOCK-2024-00183,Direct,2024-11-01,451332,1
LOCK-2024-00184,Retail,2024-06-01,911456,1
LOCK-2024-00185,Retail,2024-11-01,455212,0
LOCK-2024-00186,Retail,2024-11-01,644728,1
LOCK-2024-00187,Correspondent,2024-02-01,1120148,1
LOCK-2024-00188,Retail,2024-08-01,809548,1
LOCK-2024-00189,Wholesale,2024-10-01,208356,1
LOCK-2024-00190,Correspondent,2024-02-01,478813,0
LOCK-2024-00191,Direct,2024-04-01,397172,0
LOCK-2024-00192,Wholesale,2024-05-01,164438,1
LOCK-2024-00193,Wholesale,2024-05-01,620699,1
LOCK-2024-00194,Retail,2024-03-01,851993,1
LOCK-2024-00195,Retail,2024-06-01,736915,1
LOCK-2024-00196,Wholesale,2024-03-01,571254,1
LOCK-2024-00197,Direct,2024-03-01,722825,1
LOCK-2024-00198,Wholesale,2024-11-01,1179758,1
LOCK-2024-00199,Wholesale,2024-01-01,473218,1
LOCK-2024-00200,Correspondent,2024-06-01,1090356,1
LOCK-2024-00201,Wholesale,2024-08-01,328781,1
LOCK-2024-00202,Direct,2024-11-01,722794,0
LOCK-2024-00203,Correspondent,2024-03-01,825970,0
LOCK-2024-00204,Retail,2024-08-01,1091805,1
LOCK-2024-00205,Retail,2024-09-01,700154,1
LOCK-2024-00206,Correspondent,2024-05-01,314847,0
LOCK-2024-00207,Wholesale,2024-04-01,470400,0
LOCK-2024-00208,Direct,2024-03-01,654117,1
LOCK-2024-00209,Wholesale,2024-12-01,1156593,0
LOCK-2024-00210,Retail,2024-06-01,173532,0
LOCK-2024-00211,Retail,2024-03-01,687182,1
LOCK-2024-00212,Retail,2024-03-01,264155,1
LOCK-2024-00213,Retail,2024-11-01,873250,1
LOCK-2024-00214,Retail,2024-09-01,631285,0
LOCK-2024-00215,Correspondent,2024-06-01,937326,1
LOCK-2024-00216,Wholesale,2024-09-01,1137442,0
LOCK-2024-00217,Correspondent,2024-06-01,416097,1
LOCK-2024-00218,Direct,2024-07-01,732669,1
LOCK-2024-00219,Retail,2024-11-01,912330,1
LOCK-2024-00220,Correspondent,2024-09-01,295996,1
LOCK-2024-00221,Correspondent,2024-08-01,955282,1
LOCK-2024-00222,Correspondent,2024-11-01,839474,1
LOCK-2024-00223,Correspondent,2024-02-01,835194,0
LOCK-2024-00224,Wholesale,2024-10-01,664092,1
LOCK-2024-00225,Direct,2024-08-01,438010,0
LOCK-2024-00226,Direct,2024-02-01,1134224,0
LOCK-2024-00227,Direct,2024-05-01,683525,1
LOCK-2024-00228,Direct,2024-12-01,189826,1
LOCK-2024-00229,Correspondent,2024-01-01,1196406,1
LOCK-2024-00230,Direct,2024-12-01,915775,1
LOCK-2024-00231,Correspondent,2024-02-01,620396,1
LOCK-2024-00232,Direct,2024-11-01,768767,1
LOCK-2024-00233,Direct,2024-05-01,229269,1
LOCK-2024-00234,Correspondent,2024-02-01,907108,1
LOCK-2024-00235,Correspondent,2024-05-01,613118,0
LOCK-2024-00236,Correspondent,2024-05-01,924823,1
LOCK-2024-00237,Retail,2024-02-01,849587,0
LOCK-2024-00238,Wholesale,2024-07-01,813939,0
LOCK-2024-00239,Wholesale,2024-03-01,329314,1
LOCK-2024-00240,Correspondent,2024-07-01,629747,0
LOCK-2024-00241,Correspondent,2024-11-01,1014145,1
LOCK-2024-00242,Wholesale,2024-04-01,710598,1
LOCK-2024-00243,Correspondent,2024-11-01,861682,1
LOCK-2024-00244,Wholesale,2024-09-01,747353,1
LOCK-2024-00245,Direct,2024-08-01,164444,0
LOCK-2024-00246,Direct,2024-03-01,450009,1
LOCK-2024-00247,Retail,2024-08-01,520375,1
LOCK-2024-00248,Retail,2024-11-01,634748,1
LOCK-2024-00249,Retail,2024-01-01,810212,1
LOCK-2024-00250,Wholesale,2024-04-01,856196,1
LOCK-2024-00251,Retail,2024-03-01,224835,0
LOCK-2024-00252,Wholesale,2024-01-01,219999,1
LOCK-2024-00253,Direct,2024-03-01,777093,1
LOCK-2024-00254,Retail,2024-02-01,997256,1
LOCK-2024-00255,Wholesale,2024-07-01,1004025,0
LOCK-2024-00256,Wholesale,2024-09-01,642424,1
LOCK-2024-00257,Wholesale,2024-02-01,617611,1
LOCK-2024-00258,Wholesale,2024-09-01,359780,1
LOCK-2024-00259,Direct,2024-07-01,933953,1
LOCK-2024-00260,Wholesale,2024-04-01,265364,0
LOCK-2024-00261,Correspondent,2024-08-01,488269,1
LOCK-2024-00262,Correspondent,2024-09-01,935650,1
LOCK-2024-00263,Correspondent,2024-04-01,958992,0
LOCK-2024-00264,Wholesale,2024-04-01,416180,1
LOCK-2024-00265,Retail,2024-03-01,330652,1
LOCK-2024-00266,Correspondent,2024-02-01,1191820,1
LOCK-2024-00267,Correspondent,2024-04-01,195414,1
LOCK-2024-00268,Correspondent,2024-12-01,624497,1
LOCK-2024-00269,Direct,2024-10-01,476104,1
LOCK-2024-00270,Wholesale,2024-03-01,789003,0
LOCK-2024-00271,Correspondent,2024-06-01,1028676,1
LOCK-2024-00272,Retail,2024-10-01,878274,1
LOCK-2024-00273,Correspondent,2024-05-01,1157000,1
LOCK-2024-00274,Direct,2024-03-01,597408,1
LOCK-2024-00275,Wholesale,2024-06-01,1158971,1
LOCK-2024-00276,Retail,2024-09-01,488236,1
LOCK-2024-00277,Correspondent,2024-01-01,782727,1
LOCK-2024-00278,Correspondent,2024-08-01,446803,1
LOCK-2024-00279,Retail,2024-05-01,1064996,1
LOCK-2024-00280,Correspondent,2024-11-01,978578,1
LOCK-2024-00281,Direct,2024-08-01,261415,1
LOCK-2024-00282,Correspondent,2024-05-01,1044929,1
LOCK-2024-00283,Direct,2024-09-01,963306,1
LOCK-2024-00284,Wholesale,2024-12-01,344527,0
LOCK-2024-00285,Retail,2024-07-01,310176,1
LOCK-2024-00286,Correspondent,2024-08-01,440185,0
LOCK-2024-00287,Direct,2024-01-01,1072057,1
LOCK-2024-00288,Correspondent,2024-12-01,730554,1
LOCK-2024-00289,Wholesale,2024-05-01,540688,0
LOCK-2024-00290,Direct,2024-03-01,1131738,1
LOCK-2024-00291,Wholesale,2024-11-01,276157,0
LOCK-2024-00292,Correspondent,2024-05-01,1196482,0
LOCK-2024-00293,Correspondent,2024-02-01,1033402,1
LOCK-2024-00294,Retail,2024-07-01,282989,1
LOCK-2024-00295,Retail,2024-03-01,495005,0
LOCK-2024-00296,Retail,2024-07-01,277658,1
LOCK-2024-00297,Retail,2024-08-01,899929,1
LOCK-2024-00298,Retail,2024-10-01,800809,0
LOCK-2024-00299,Direct,2024-07-01,816397,1
LOCK-2024-00300,Correspondent,2024-07-01,174266,0
LOCK-2024-00301,Direct,2024-04-01,775082,0
LOCK-2024-00302,Wholesale,2024-12-01,186349,1
LOCK-2024-00303,Retail,2024-01-01,389781,1
LOCK-2024-00304,Wholesale,2024-11-01,940715,1
LOCK-2024-00305,Wholesale,2024-07-01,197195,1
LOCK-2024-00306,Direct,2024-05-01,812193,1
LOCK-2024-00307,Correspondent,2024-08-01,680939,1
LOCK-2024-00308,Retail,2024-10-01,960151,1
LOCK-2024-00309,Retail,2024-09-01,686164,1
LOCK-2024-00310,Wholesale,2024-09-01,927805,0
LOCK-2024-00311,Direct,2024-01-01,1134270,1
LOCK-2024-00312,Wholesale,2024-01-01,419881,0
LOCK-2024-00313,Retail,2024-04-01,326441,0
LOCK-2024-00314,Retail,2024-09-01,1048307,1
LOCK-2024-00315,Direct,2024-02-01,1055628,1
LOCK-2024-00316,Direct,2024-08-01,1196549,1
LOCK-2024-00317,Correspondent,2024-01-01,587563,1
LOCK-2024-00318,Wholesale,2024-05-01,430099,0
LOCK-2024-00319,Retail,2024-08-01,195155,0
LOCK-2024-00320,Wholesale,2024-03-01,811584,0
LOCK-2024-00321,Retail,2024-12-01,1059363,1
LOCK-2024-00322,Correspondent,2024-01-01,522475,1
LOCK-2024-00323,Correspondent,2024-02-01,1184669,1
LOCK-2024-00324,Direct,2024-04-01,769648,0
LOCK-2024-00325,Direct,2024-05-01,943675,1
LOCK-2024-00326,Correspondent,2024-06-01,1190081,1
LOCK-2024-00327,Correspondent,2024-01-01,349889,1
LOCK-2024-00328,Direct,2024-11-01,956587,1
LOCK-2024-00329,Direct,2024-09-01,194140,1
LOCK-2024-00330,Direct,2024-11-01,1125047,0
LOCK-2024-00331,Wholesale,2024-11-01,726698,1
LOCK-2024-00332,Retail,2024-06-01,1089193,1
LOCK-2024-00333,Retail,2024-04-01,761212,0
LOCK-2024-00334,Direct,2024-03-01,478694,0
LOCK-2024-00335,Wholesale,2024-01-01,932900,0
LOCK-2024-00336,Direct,2024-06-01,151613,0
LOCK-2024-00337,Correspondent,2024-09-01,857760,1
LOCK-2024-00338,Correspondent,2024-06-01,494103,1
LOCK-2024-00339,Correspondent,2024-04-01,1058088,1
LOCK-2024-00340,Correspondent,2024-08-01,446666,0
LOCK-2024-00341,Correspondent,2024-03-01,212487,1
LOCK-2024-00342,Retail,2024-09-01,1021381,1
LOCK-2024-00343,Retail,2024-02-01,595241,0
LOCK-2024-00344,Direct,2024-08-01,361025,1
LOCK-2024-00345,Direct,2024-02-01,1004746,1
LOCK-2024-00346,Retail,2024-04-01,771743,1
LOCK-2024-00347,Wholesale,2024-08-01,970489,1
LOCK-2024-00348,Direct,2024-01-01,1166182,0
LOCK-2024-00349,Direct,2024-06-01,1040532,1
LOCK-2024-00350,Correspondent,2024-01-01,186677,1
LOCK-2024-00351,Wholesale,2024-07-01,1011586,1
LOCK-2024-00352,Correspondent,2024-04-01,972656,1
LOCK-2024-00353,Direct,2024-10-01,289215,1
LOCK-2024-00354,Direct,2024-12-01,1107794,0
LOCK-2024-00355,Retail,2024-11-01,608961,0
LOCK-2024-00356,Wholesale,2024-09-01,432538,1
LOCK-2024-00357,Direct,2024-05-01,385971,0
LOCK-2024-00358,Wholesale,2024-05-01,664043,1
LOCK-2024-00359,Retail,2024-06-01,518307,1
LOCK-2024-00360,Retail,2024-08-01,754958,1
LOCK-2024-00361,Retail,2024-08-01,668852,1
LOCK-2024-00362,Wholesale,2024-11-01,386607,1
LOCK-2024-00363,Correspondent,2024-02-01,378775,1
LOCK-2024-00364,Wholesale,2024-08-01,1028084,1
LOCK-2024-00365,Wholesale,2024-12-01,399057,1
LOCK-2024-00366,Direct,2024-11-01,206310,1
LOCK-2024-00367,Correspondent,2024-08-01,1098814,1
LOCK-2024-00368,Direct,2024-03-01,835227,1
LOCK-2024-00369,Retail,2024-02-01,737619,0
LOCK-2024-00370,Correspondent,2024-07-01,1085033,0
LOCK-2024-00371,Direct,2024-07-01,196594,0
LOCK-2024-00372,Correspondent,2024-02-01,627277,0
LOCK-2024-00373,Wholesale,2024-12-01,1163102,0
LOCK-2024-00374,Correspondent,2024-05-01,861661,1
LOCK-2024-00375,Retail,2024-01-01,962652,0
LOCK-2024-00376,Correspondent,2024-03-01,211354,1
LOCK-2024-00377,Retail,2024-10-01,972628,1
LOCK-2024-00378,Direct,2024-07-01,1127917,0
LOCK-2024-00379,Direct,2024-10-01,397984,1
LOCK-2024-00380,Wholesale,2024-07-01,1038214,0
LOCK-2024-00381,Correspondent,2024-11-01,163001,0
LOCK-2024-00382,Correspondent,2024-11-01,1007966,1
LOCK-2024-00383,Correspondent,2024-04-01,559620,1
LOCK-2024-00384,Retail,2024-01-01,938216,1
LOCK-2024-00385,Retail,2024-10-01,390948,1
LOCK-2024-00386,Retail,2024-09-01,151389,1
LOCK-2024-00387,Retail,2024-12-01,457825,0
LOCK-2024-00388,Correspondent,2024-02-01,1067117,0
LOCK-2024-00389,Correspondent,2024-04-01,666552,1
LOCK-2024-00390,Retail,2024-08-01,1180110,1
LOCK-2024-00391,Retail,2024-10-01,277445,1
LOCK-2024-00392,Retail,2024-05-01,694567,1
LOCK-2024-00393,Wholesale,2024-02-01,295759,1
LOCK-2024-00394,Wholesale,2024-04-01,548443,1
LOCK-2024-00395,Direct,2024-10-01,874816,1
LOCK-2024-00396,Wholesale,2024-02-01,360279,1
LOCK-2024-00397,Direct,2024-06-01,175296,1
LOCK-2024-00398,Wholesale,2024-08-01,502058,1
LOCK-2024-00399,Direct,2024-06-01,1150881,1
LOCK-2024-00400,Correspondent,2024-08-01,1196584,1
LOCK-2024-00401,Correspondent,2024-02-01,970883,0
LOCK-2024-00402,Wholesale,2024-12-01,867367,1
LOCK-2024-00403,Wholesale,2024-10-01,765902,1
LOCK-2024-00404,Direct,2024-01-01,890216,1
LOCK-2024-00405,Correspondent,2024-04-01,590720,1
LOCK-2024-00406,Wholesale,2024-04-01,332037,1
LOCK-2024-00407,Correspondent,2024-09-01,369306,1
LOCK-2024-00408,Retail,2024-11-01,1131179,0
LOCK-2024-00409,Direct,2024-07-01,1011518,1
LOCK-2024-00410,Retail,2024-07-01,1033927,0
LOCK-2024-00411,Correspondent,2024-08-01,658383,1
LOCK-2024-00412,Correspondent,2024-11-01,385653,1
LOCK-2024-00413,Correspondent,2024-07-01,665300,1
LOCK-2024-00414,Direct,2024-01-01,1134177,1
LOCK-2024-00415,Direct,2024-08-01,548770,1
LOCK-2024-00416,Wholesale,2024-04-01,518415,1
LOCK-2024-00417,Correspondent,2024-12-01,1101870,0
LOCK-2024-00418,Retail,2024-10-01,636794,1
LOCK-2024-00419,Direct,2024-10-01,951664,1
LOCK-2024-00420,Retail,2024-12-01,1086738,1
LOCK-2024-00421,Wholesale,2024-07-01,274549,1
LOCK-2024-00422,Retail,2024-09-01,665088,1
LOCK-2024-00423,Correspondent,2024-12-01,1191940,0
LOCK-2024-00424,Correspondent,2024-06-01,981127,1
LOCK-2024-00425,Retail,2024-07-01,424478,0
LOCK-2024-00426,Direct,2024-03-01,852091,1
LOCK-2024-00427,Direct,2024-09-01,1013865,1
LOCK-2024-00428,Direct,2024-11-01,310820,1
LOCK-2024-00429,Wholesale,2024-05-01,680424,1
LOCK-2024-00430,Retail,2024-03-01,986625,0
LOCK-2024-00431,Direct,2024-02-01,738892,0
LOCK-2024-00432,Retail,2024-12-01,714775,1
LOCK-2024-00433,Direct,2024-04-01,365887,1
LOCK-2024-00434,Retail,2024-03-01,627683,0
LOCK-2024-00435,Retail,2024-10-01,554057,0
LOCK-2024-00436,Wholesale,2024-06-01,572934,1
LOCK-2024-00437,Wholesale,2024-08-01,419711,0
LOCK-2024-00438,Direct,2024-06-01,1082004,1
LOCK-2024-00439,Wholesale,2024-03-01,1020507,1
LOCK-2024-00440,Retail,2024-09-01,506976,0
LOCK-2024-00441,Direct,2024-10-01,308240,0
LOCK-2024-00442,Wholesale,2024-09-01,1142117,1
LOCK-2024-00443,Correspondent,2024-10-01,392049,1
LOCK-2024-00444,Direct,2024-07-01,793591,1
LOCK-2024-00445,Correspondent,2024-04-01,709240,1
LOCK-2024-00446,Retail,2024-04-01,779858,1
LOCK-2024-00447,Wholesale,2024-12-01,1184231,1
LOCK-2024-00448,Direct,2024-04-01,814147,1
LOCK-2024-00449,Wholesale,2024-06-01,709443,1
LOCK-2024-00450,Wholesale,2024-08-01,155262,0
LOCK-2024-00451,Wholesale,2024-09-01,881699,1
LOCK-2024-00452,Correspondent,2024-05-01,1103724,1
LOCK-2024-00453,Correspondent,2024-06-01,627480,1
LOCK-2024-00454,Retail,2024-02-01,935813,1
LOCK-2024-00455,Retail,2024-07-01,621577,0
LOCK-2024-00456,Correspondent,2024-02-01,901724,1
LOCK-2024-00457,Wholesale,2024-02-01,484926,0
LOCK-2024-00458,Direct,2024-11-01,208124,1
LOCK-2024-00459,Correspondent,2024-03-01,1038035,0
LOCK-2024-00460,Direct,2024-01-01,492085,0
LOCK-2024-00461,Direct,2024-08-01,680355,0
LOCK-2024-00462,Correspondent,2024-08-01,1139345,1
LOCK-2024-00463,Correspondent,2024-02-01,681037,1
LOCK-2024-00464,Correspondent,2024-08-01,205152,1
LOCK-2024-00465,Direct,2024-06-01,509960,1
LOCK-2024-00466,Wholesale,2024-04-01,539289,1
LOCK-2024-00467,Retail,2024-05-01,235838,0
LOCK-2024-00468,Direct,2024-07-01,1160477,1
LOCK-2024-00469,Direct,2024-11-01,1088020,0
LOCK-2024-00470,Retail,2024-07-01,1165076,1
LOCK-2024-00471,Correspondent,2024-03-01,1029822,0
LOCK-2024-00472,Wholesale,2024-08-01,211843,1
LOCK-2024-00473,Wholesale,2024-10-01,657451,0
LOCK-2024-00474,Wholesale,2024-01-01,497089,1
LOCK-2024-00475,Retail,2024-12-01,419407,1
LOCK-2024-00476,Retail,2024-12-01,1092277,1
LOCK-2024-00477,Wholesale,2024-05-01,413494,0
LOCK-2024-00478,Wholesale,2024-02-01,773283,1
LOCK-2024-00479,Wholesale,2024-02-01,422763,1
LOCK-2024-00480,Correspondent,2024-04-01,1063041,1
LOCK-2024-00481,Correspondent,2024-11-01,841365,1
LOCK-2024-00482,Correspondent,2024-10-01,281134,1
LOCK-2024-00483,Wholesale,2024-03-01,911169,1
LOCK-2024-00484,Direct,2024-09-01,919269,1
LOCK-2024-00485,Retail,2024-10-01,496888,1
LOCK-2024-00486,Retail,2024-04-01,530589,1
LOCK-2024-00487,Wholesale,2024-05-01,451571,0
LOCK-2024-00488,Correspondent,2024-08-01,742672,0
LOCK-2024-00489,Wholesale,2024-11-01,1157854,1
LOCK-2024-00490,Retail,2024-02-01,360924,1
LOCK-2024-00491,Retail,2024-01-01,185471,1
LOCK-2024-00492,Retail,2024-05-01,1136479,1
LOCK-2024-00493,Correspondent,2024-09-01,455614,0
LOCK-2024-00494,Retail,2024-03-01,1088830,0
