loan_id,channel,product,funded_amount,funded_month,margin_bps,interest_rate,state
LN-2024-00099,Wholesale,ARM 5/1,371077,2024-06-01,377,5.57,IL
LN-2024-00100,Wholesale,ARM 5/1,778920,2024-05-01,255,6.023,NY
LN-2024-00101,Correspondent,30yr Fixed,876781,2024-01-01,286,6.019,FL
LN-2024-00102,Retail,15yr Fixed,1037298,2024-07-01,365,7.226,TX
LN-2024-00103,Wholesale,15yr Fixed,442516,2024-04-01,294,8.352,IL
LN-2024-00104,Correspondent,30yr Fixed,797015,2024-12-01,261,5.583,IL
LN-2024-00105,Direct,15yr Fixed,1057558,2024-02-01,300,6.39,NY
LN-2024-00106,Retail,30yr Fixed,605253,2024-12-01,345,6.558,IL
LN-2024-00107,Retail,15yr Fixed,485325,2024-05-01,291,8.087,FL
LN-2024-00108,Retail,15yr Fixed,938060,2024-05-01,307,5.894,TX
LN-2024-00109,Wholesale,15yr Fixed,327655,2024-08-01,285,7.72,AZ
LN-2024-00110,Retail,30yr Fixed,941049,2024-01-01,378,7.24,CA
LN-2024-00111,Direct,ARM 5/1,456281,2024-04-01,274,5.819,TX
LN-2024-00112,Direct,30yr Fixed,741543,2024-07-01,329,8.174,NY
LN-2024-00113,Retail,30yr Fixed,869977,2024-10-01,308,7.343,CA
LN-2024-00114,Correspondent,15yr Fixed,563496,2024-12-01,264,7.869,IL
LN-2024-00115,Direct,15yr Fixed,920128,2024-12-01,264,5.874,IL
LN-2024-00116,Retail,15yr Fixed,627095,2024-08-01,322,5.82,AZ
LN-2024-00117,Correspondent,30yr Fixed,1138881,2024-08-01,362,7.711,TX
LN-2024-00118,Wholesale,ARM 5/1,814504,2024-06-01,357,7.532,CA
LN-2024-00119,Wholesale,30yr Fixed,320702,2024-08-01,356,7.949,NY
LN-2024-00120,Direct,15yr Fixed,532175,2024-11-01,344,6.492,AZ
LN-2024-00121,Direct,15yr Fixed,968306,2024-09-01,253,6.578,IL
LN-2024-00122,Wholesale,ARM 5/1,398390,2024-02-01,300,7.555,TX
LN-2024-00123,Retail,30yr Fixed,891715,2024-05-01,377,7.322,AZ
LN-2024-00124,Retail,30yr Fixed,1093441,2024-12-01,301,7.018,NY
LN-2024-00125,Direct,30yr Fixed,499702,2024-08-01,251,6.569,FL
LN-2024-00126,Correspondent,15yr Fixed,666902,2024-08-01,330,7.082,NY
LN-2024-00127,Wholesale,30yr Fixed,239698,2024-07-01,370,7.442,AZ
LN-2024-00128,Direct,ARM 5/1,902518,2024-09-01,323,7.792,FL
LN-2024-00129,Correspondent,ARM 5/1,373372,2024-08-01,295,5.809,CA
LN-2024-00130,Direct,30yr Fixed,980836,2024-11-01,377,6.032,IL
LN-2024-00131,Wholesale,15yr Fixed,826687,2024-06-01,348,7.737,AZ
LN-2024-00132,Retail,30yr Fixed,326625,2024-01-01,340,7.363,TX
LN-2024-00133,Wholesale,30yr Fixed,881589,2024-02-01,255,6.657,NY
LN-2024-00134,Correspondent,30yr Fixed,705576,2024-08-01,349,7.957,IL
LN-2024-00135,Wholesale,ARM 5/1,314756,2024-02-01,363,6.386,FL
LN-2024-00136,Retail,30yr Fixed,470817,2024-01-01,316,8.284,NY
LN-2024-00137,Wholesale,ARM 5/1,635356,2024-01-01,348,7.204,IL
LN-2024-00138,Wholesale,15yr Fixed,698065,2024-11-01,310,6.373,CA
LN-2024-00139,Direct,15yr Fixed,564892,2024-05-01,307,6.567,IL
LN-2024-00140,Direct,15yr Fixed,448486,2024-06-01,346,7.313,FL
LN-2024-00141,Direct,ARM 5/1,470000,2024-02-01,363,6.785,TX
LN-2024-00142,Wholesale,ARM 5/1,166472,2024-12-01,312,7.405,CA
LN-2024-00143,Wholesale,30yr Fixed,603933,2024-04-01,370,7.78,IL
LN-2024-00144,Correspondent,30yr Fixed,157490,2024-12-01,310,6.048,TX
LN-2024-00145,Direct,15yr Fixed,353899,2024-11-01,307,8.256,TX
LN-2024-00146,Wholesale,30yr Fixed,887221,2024-03-01,311,8.331,CA
LN-2024-00147,Direct,ARM 5/1,280398,2024-12-01,287,5.735,NY
LN-2024-00148,Correspondent,15yr Fixed,1112269,2024-03-01,268,8.232,CA
LN-2024-00149,Direct,15yr Fixed,1183201,2024-07-01,262,7.876,TX
LN-2024-00150,Direct,ARM 5/1,452227,2024-10-01,277,5.655,IL
LN-2024-00151,Retail,30yr Fixed,1124235,2024-03-01,315,8.086,IL
LN-2024-00152,Direct,ARM 5/1,950402,2024-06-01,347,5.96,CA
LN-2024-00153,Wholesale,30yr Fixed,1148488,2024-12-01,255,5.689,AZ
LN-2024-00154,Wholesale,30yr Fixed,459954,2024-03-01,372,6.949,CA
LN-2024-00155,Wholesale,15yr Fixed,215746,2024-07-01,371,7.134,FL
LN-2024-00156,Retail,ARM 5/1,1031842,2024-08-01,305,7.22,CA
LN-2024-00157,Wholesale,30yr Fixed,659792,2024-12-01,365,5.891,AZ
LN-2024-00158,Wholesale,30yr Fixed,686105,2024-12-01,285,6.375,AZ
LN-2024-00159,Retail,30yr Fixed,669556,2024-01-01,349,8.353,TX
LN-2024-00160,Retail,ARM 5/1,337735,2024-01-01,296,7.244,TX
LN-2024-00161,Direct,15yr Fixed,732306,2024-08-01,261,7.738,NY
LN-2024-00162,Retail,30yr Fixed,552046,2024-05-01,328,6.546,IL
LN-2024-00163,Correspondent,15yr Fixed,308612,2024-04-01,265,6.105,IL
LN-2024-00164,Wholesale,30yr Fixed,224059,2024-12-01,379,6.316,FL
LN-2024-00165,Wholesale,ARM 5/1,1169043,2024-06-01,312,6.677,NY
LN-2024-00166,Wholesale,15yr Fixed,581363,2024-02-01,345,6.702,AZ
LN-2024-00167,Retail,15yr Fixed,1034287,2024-07-01,328,6.754,NY
LN-2024-00168,Retail,ARM 5/1,1042281,2024-10-01,356,5.707,AZ
LN-2024-00169,Wholesale,15yr Fixed,721873,2024-06-01,378,7.935,FL
LN-2024-00170,Wholesale,30yr Fixed,215949,2024-03-01,304,5.774,FL
LN-2024-00171,Wholesale,30yr Fixed,976409,2024-12-01,283,6.278,IL
LN-2024-00172,Direct,15yr Fixed,669723,2024-11-01,366,7.477,NY
LN-2024-00173,Correspondent,30yr Fixed,763947,2024-10-01,346,8.241,FL
LN-2024-00174,Wholesale,30yr Fixed,931771,2024-10-01,288,7.029,CA
LN-2024-00175,Correspondent,ARM 5/1,912896,2024-11-01,344,7.965,NY
LN-2024-00176,Direct,30yr Fixed,521407,2024-11-01,342,6.61,AZ
LN-2024-00177,Direct,30yr Fixed,203730,2024-07-01,336,6.329,FL
LN-2024-00178,Correspondent,15yr Fixed,1181161,2024-06-01,328,5.544,AZ
LN-2024-00179,Wholesale,30yr Fixed,280523,2024-04-01,325,6.507,NY
LN-2024-00180,Retail,ARM 5/1,730139,2024-01-01,290,8.209,TX
LN-2024-00181,Direct,30yr Fixed,233023,2024-10-01,368,5.585,NY
LN-2024-00182,Correspondent,15yr Fixed,437787,2024-01-01,290,7.694,AZ
LN-2024-00183,Wholesale,30yr Fixed,916126,2024-11-01,265,5.89,AZ
LN-2024-00184,Direct,30yr Fixed,477473,2024-08-01,347,5.751,AZ
LN-2024-00185,Direct,ARM 5/1,198469,2024-09-01,340,6.449,NY
LN-2024-00186,Correspondent,ARM 5/1,1093245,2024-10-01,334,6.725,AZ
LN-2024-00187,Retail,15yr Fixed,933786,2024-10-01,329,7.889,AZ
LN-2024-00188,Wholesale,30yr Fixed,1136263,2024-02-01,281,5.51,NY
LN-2024-00189,Correspondent,ARM 5/1,407023,2024-03-01,365,6.612,IL
LN-2024-00190,Wholesale,ARM 5/1,153348,2024-05-01,261,5.808,AZ
LN-2024-00191,Correspondent,15yr Fixed,506684,2024-01-01,290,8.361,IL
LN-2024-00192,Direct,30yr Fixed,858864,2024-02-01,351,8.353,CA
LN-2024-00193,Wholesale,15yr Fixed,1042186,2024-07-01,354,6.265,IL
LN-2024-00194,Correspondent,ARM 5/1,581506,2024-10-01,305,7.268,FL
LN-2024-00195,Wholesale,30yr Fixed,371669,2024-12-01,380,6.203,IL
LN-2024-00196,Direct,15yr Fixed,702609,2024-03-01,279,6.455,NY
LN-2024-00197,Retail,ARM 5/1,249247,2024-08-01,317,7.642,IL
LN-2024-00198,Correspondent,30yr Fixed,605295,2024-03-01,334,5.911,AZ
LN-2024-00199,Wholesale,15yr Fixed,339762,2024-06-01,366,5.752,TX
LN-2024-00200,Direct,15yr Fixed,279531,2024-03-01,364,5.631,FL
LN-2024-00201,Correspondent,15yr Fixed,1064007,2024-10-01,343,7.322,CA
LN-2024-00202,Direct,15yr Fixed,558177,2024-02-01,297,6.495,TX
LN-2024-00203,Direct,ARM 5/1,281599,2024-02-01,316,8.3,NY
LN-2024-00204,Retail,15yr Fixed,966462,2024-03-01,326,7.996,IL
LN-2024-00205,Correspondent,15yr Fixed,397713,2024-09-01,367,8.146,NY
LN-2024-00206,Wholesale,30yr Fixed,644369,2024-10-01,337,7.693,NY
LN-2024-00207,Direct,30yr Fixed,234178,2024-06-01,325,6.831,TX
LN-2024-00208,Correspondent,15yr Fixed,699033,2024-02-01,270,7.503,TX
LN-2024-00209,Retail,15yr Fixed,1158921,2024-09-01,374,6.047,NY
LN-2024-00210,Retail,15yr Fixed,711235,2024-06-01,305,5.717,IL
LN-2024-00211,Wholesale,30yr Fixed,255217,2024-01-01,259,6.025,IL
LN-2024-00212,Wholesale,ARM 5/1,895997,2024-04-01,280,7.426,IL
LN-2024-00213,Retail,30yr Fixed,261101,2024-09-01,295,7.714,AZ
LN-2024-00214,Wholesale,15yr Fixed,686997,2024-09-01,252,5.76,TX
LN-2024-00215,Retail,ARM 5/1,192068,2024-08-01,367,6.146,FL
LN-2024-00216,Direct,30yr Fixed,523395,2024-05-01,310,5.814,CA
LN-2024-00217,Direct,ARM 5/1,1176213,2024-11-01,287,7.605,AZ
LN-2024-00218,Retail,30yr Fixed,254850,2024-04-01,255,7.039,IL
LN-2024-00219,Wholesale,ARM 5/1,753654,2024-06-01,251,7.425,CA
LN-2024-00220,Wholesale,ARM 5/1,452279,2024-08-01,267,6.65,NY
LN-2024-00221,Correspondent,ARM 5/1,660425,2024-06-01,332,6.59,IL
LN-2024-00222,Correspondent,ARM 5/1,175289,2024-06-01,357,5.658,TX
LN-2024-00223,Wholesale,30yr Fixed,714895,2024-05-01,351,7.045,CA
LN-2024-00224,Wholesale,15yr Fixed,913382,2024-09-01,297,8.199,CA
LN-2024-00225,Retail,ARM 5/1,646541,2024-09-01,283,8.127,NY
LN-2024-00226,Retail,30yr Fixed,1031021,2024-02-01,354,5.841,TX
LN-2024-00227,Retail,15yr Fixed,1001778,2024-06-01,291,7.377,IL
LN-2024-00228,Correspondent,ARM 5/1,1009258,2024-10-01,270,6.382,IL
LN-2024-00229,Direct,15yr Fixed,649798,2024-09-01,356,7.261,FL
LN-2024-00230,Correspondent,30yr Fixed,499686,2024-09-01,334,6.8,IL
LN-2024-00231,Correspondent,30yr Fixed,1137231,2024-05-01,279,5.665,TX
LN-2024-00232,Direct,30yr Fixed,657884,2024-08-01,349,6.78,CA
LN-2024-00233,Wholesale,30yr Fixed,1091001,2024-07-01,334,6.049,FL
LN-2024-00234,Retail,30yr Fixed,889162,2024-06-01,280,7.663,FL
LN-2024-00235,Wholesale,15yr Fixed,1095193,2024-04-01,254,8.492,IL
LN-2024-00236,Retail,15yr Fixed,797212,2024-06-01,374,8.449,CA
LN-2024-00237,Retail,ARM 5/1,1038895,2024-04-01,338,5.552,TX
LN-2024-00238,Wholesale,30yr Fixed,465621,2024-11-01,326,7.952,CA
LN-2024-00239,Direct,30yr Fixed,1128036,2024-05-01,251,8.473,NY
LN-2024-00240,Wholesale,15yr Fixed,626079,2024-06-01,261,7.554,CA
LN-2024-00241,Correspondent,15yr Fixed,745244,2024-09-01,323,8.1,AZ
LN-2024-00242,Correspondent,ARM 5/1,492876,2024-05-01,350,6.752,TX
LN-2024-00243,Direct,ARM 5/1,741529,2024-10-01,339,6.714,CA
LN-2024-00244,Direct,30yr Fixed,490355,2024-10-01,283,7.493,NY
LN-2024-00245,Retail,15yr Fixed,1162669,2024-06-01,279,7.507,TX
LN-2024-00246,Correspondent,30yr Fixed,979585,2024-09-01,333,8.065,AZ
LN-2024-00247,Wholesale,15yr Fixed,790903,2024-04-01,306,5.724,FL
LN-2024-00248,Direct,15yr Fixed,574920,2024-03-01,284,7.574,CA
LN-2024-00249,Direct,30yr Fixed,427894,2024-11-01,357,7.704,AZ
LN-2024-00250,Retail,15yr Fixed,813766,2024-11-01,357,8.035,AZ
LN-2024-00251,Direct,30yr Fixed,602337,2024-11-01,254,7.97,CA
LN-2024-00252,Correspondent,30yr Fixed,1057646,2024-12-01,289,8.036,CA
LN-2024-00253,Wholesale,30yr Fixed,1198304,2024-06-01,343,6.608,NY
LN-2024-00254,Direct,15yr Fixed,774002,2024-09-01,354,6.953,TX
LN-2024-00255,Direct,15yr Fixed,660469,2024-05-01,328,5.522,IL
LN-2024-00256,Direct,15yr Fixed,1071736,2024-05-01,272,6.762,FL
LN-2024-00257,Direct,ARM 5/1,858360,2024-04-01,285,7.92,CA
LN-2024-00258,Wholesale,15yr Fixed,629361,2024-07-01,274,7.733,IL
LN-2024-00259,Correspondent,30yr Fixed,675749,2024-07-01,293,8.128,TX
LN-2024-00260,Retail,ARM 5/1,999200,2024-08-01,285,6.393,FL
LN-2024-00261,Direct,15yr Fixed,167079,2024-11-01,305,7.67,NY
LN-2024-00262,Correspondent,ARM 5/1,265410,2024-12-01,252,8.183,FL
LN-2024-00263,Retail,ARM 5/1,1195372,2024-02-01,326,6.414,NY
LN-2024-00264,Wholesale,30yr Fixed,852093,2024-03-01,272,6.366,AZ
LN-2024-00265,Retail,ARM 5/1,542403,2024-08-01,328,6.652,NY
LN-2024-00266,Wholesale,30yr Fixed,251822,2024-04-01,321,7.067,AZ
LN-2024-00267,Direct,15yr Fixed,937117,2024-01-01,364,6.306,IL
LN-2024-00268,Direct,15yr Fixed,824997,2024-02-01,346,7.656,NY
LN-2024-00269,Wholesale,15yr Fixed,390962,2024-01-01,378,6.592,IL
LN-2024-00270,Retail,30yr Fixed,975236,2024-07-01,299,5.544,IL
LN-2024-00271,Direct,30yr Fixed,405751,2024-03-01,367,8.35,TX
LN-2024-00272,Correspondent,30yr Fixed,448512,2024-01-01,368,6.311,TX
LN-2024-00273,Wholesale,30yr Fixed,516414,2024-07-01,292,7.328,CA
LN-2024-00274,Correspondent,ARM 5/1,1142828,2024-08-01,370,6.882,FL
LN-2024-00275,Wholesale,30yr Fixed,612232,2024-12-01,372,6.524,AZ
LN-2024-00276,Wholesale,ARM 5/1,750838,2024-09-01,361,7.343,IL
LN-2024-00277,Wholesale,30yr Fixed,540724,2024-02-01,259,5.94,TX
LN-2024-00278,Retail,ARM 5/1,281898,2024-07-01,370,6.96,AZ
LN-2024-00279,Retail,30yr Fixed,215001,2024-02-01,373,5.785,NY
LN-2024-00280,Direct,ARM 5/1,794416,2024-12-01,292,7.243,IL
LN-2024-00281,Retail,ARM 5/1,797744,2024-07-01,332,6.184,NY
LN-2024-00282,Correspondent,15yr Fixed,889425,2024-08-01,296,5.845,CA
LN-2024-00283,Direct,ARM 5/1,564560,2024-08-01,297,8.439,NY
LN-2024-00284,Correspondent,ARM 5/1,826456,2024-03-01,344,7.196,AZ
LN-2024-00285,Retail,ARM 5/1,410896,2024-12-01,313,5.546,CA
LN-2024-00286,Retail,ARM 5/1,1074570,2024-02-01,261,5.708,NY
LN-2024-00287,Correspondent,ARM 5/1,827993,2024-11-01,302,7.713,NY
LN-2024-00288,Correspondent,ARM 5/1,1186044,2024-06-01,366,8.354,NY
LN-2024-00289,Direct,15yr Fixed,996212,2024-08-01,291,6.805,AZ
LN-2024-00290,Wholesale,30yr Fixed,1069646,2024-11-01,306,8.097,NY
LN-2024-00291,Direct,ARM 5/1,311612,2024-01-01,303,6.625,CA
LN-2024-00292,Retail,ARM 5/1,602473,2024-12-01,328,5.682,CA
LN-2024-00293,Wholesale,30yr Fixed,1153644,2024-02-01,359,8.423,IL
LN-2024-00294,Correspondent,ARM 5/1,834486,2024-12-01,315,6.82,IL
LN-2024-00295,Wholesale,15yr Fixed,689385,2024-02-01,330,7.286,NY
LN-2024-00296,Retail,30yr Fixed,662814,2024-01-01,329,7.617,FL
LN-2024-00297,Direct,15yr Fixed,346984,2024-09-01,262,8.187,AZ
LN-2024-00298,Direct,ARM 5/1,1108585,2024-12-01,374,8.476,CA
LN-2024-00299,Retail,ARM 5/1,965219,2024-02-01,341,6.374,IL
LN-2024-00300,Wholesale,30yr Fixed,159143,2024-07-01,254,5.915,TX
LN-2024-00301,Retail,30yr Fixed,271986,2024-05-01,268,7.514,NY
LN-2024-00302,Wholesale,30yr Fixed,269530,2024-05-01,288,6.85,NY
LN-2024-00303,Direct,15yr Fixed,398563,2024-12-01,307,5.971,IL
LN-2024-00304,Direct,ARM 5/1,283031,2024-08-01,291,7.923,FL
LN-2024-00305,Wholesale,ARM 5/1,885009,2024-05-01,280,7.754,IL
LN-2024-00306,Correspondent,ARM 5/1,1176960,2024-09-01,264,6.737,FL
LN-2024-00307,Retail,ARM 5/1,643252,2024-02-01,303,6.12,FL
LN-2024-00308,Correspondent,30yr Fixed,976592,2024-05-01,274,6.411,NY
LN-2024-00309,Correspondent,ARM 5/1,1036830,2024-03-01,266,7.133,TX
LN-2024-00310,Correspondent,30yr Fixed,1056385,2024-09-01,352,6.947,AZ
LN-2024-00311,Wholesale,15yr Fixed,1120537,2024-06-01,325,6.095,NY
LN-2024-00312,Retail,15yr Fixed,195277,2024-04-01,327,7.79,AZ
LN-2024-00313,Direct,ARM 5/1,620991,2024-06-01,307,5.943,TX
LN-2024-00314,Retail,30yr Fixed,161500,2024-12-01,348,6.777,CA
LN-2024-00315,Direct,15yr Fixed,262195,2024-06-01,367,7.776,TX
LN-2024-00316,Direct,ARM 5/1,976262,2024-01-01,266,5.893,AZ
LN-2024-00317,Retail,30yr Fixed,165876,2024-02-01,342,6.131,FL
LN-2024-00318,Wholesale,30yr Fixed,1038532,2024-06-01,283,6.51,IL
LN-2024-00319,Correspondent,ARM 5/1,528262,2024-10-01,316,6.229,NY
LN-2024-00320,Wholesale,30yr Fixed,526883,2024-11-01,270,6.581,FL
LN-2024-00321,Direct,ARM 5/1,798218,2024-12-01,375,6.018,TX
LN-2024-00322,Direct,15yr Fixed,1150303,2024-10-01,338,7.844,FL
LN-2024-00323,Direct,15yr Fixed,190032,2024-07-01,297,6.738,AZ
LN-2024-00324,Correspondent,15yr Fixed,681612,2024-04-01,287,6.989,NY
LN-2024-00325,Correspondent,30yr Fixed,467606,2024-01-01,327,8.463,FL
LN-2024-00326,Correspondent,ARM 5/1,651717,2024-07-01,324,8.322,TX
LN-2024-00327,Direct,ARM 5/1,380983,2024-02-01,283,6.061,IL
LN-2024-00328,Correspondent,ARM 5/1,300095,2024-04-01,283,7.705,FL
LN-2024-00329,Retail,15yr Fixed,1166992,2024-08-01,346,6.608,AZ
LN-2024-00330,Retail,15yr Fixed,469816,2024-03-01,287,8.287,NY
LN-2024-00331,Wholesale,ARM 5/1,911964,2024-01-01,323,6.46,IL
LN-2024-00332,Wholesale,ARM 5/1,515962,2024-11-01,252,7.198,IL
LN-2024-00333,Wholesale,30yr Fixed,545906,2024-05-01,357,5.929,TX
LN-2024-00334,Retail,ARM 5/1,259808,2024-11-01,361,5.793,FL
LN-2024-00335,Correspondent,30yr Fixed,370883,2024-11-01,344,7.095,TX
LN-2024-00336,Correspondent,ARM 5/1,314808,2024-11-01,304,7.053,AZ
